Title,Description
The Willoughbys,"The Willoughbys (2020) is a animation, adventure, comedy film directed by Kris Pearn. Featuring Will Forte, this movie has an IMDb rating of 6.4/10 and a MetaScore of 68.0. With a runtime of 90 minutes, it is rated PG."
Shaun the Sheep Movie,"Shaun the Sheep Movie (2015) is a animation, adventure, comedy film directed by Mark Burton. Featuring Justin Fletcher, this movie has an IMDb rating of 7.3/10 and a MetaScore of 81.0. With a runtime of 85 minutes, it is rated PG."
A Greyhound of a Girl,"A Greyhound of a Girl (2023) is a animation, drama, family film directed by Enzo D'Alò. Featuring Charlotte Infussi, D'Amico, this movie has an IMDb rating of 7.2/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The Royal Treatment,"The Royal Treatment (2022) is a comedy, family, romance film directed by Rick Jacobson. Featuring Laura Marano, this movie has an IMDb rating of 5.2/10 and a MetaScore of 36.0. With a runtime of 96 minutes, it is rated TV-PG."
Miracle on 34th Street,"Miracle on 34th Street (1994) is a drama, family, fantasy film directed by Les Mayfield. Featuring Richard Attenborough, this movie has an IMDb rating of 6.6/10 and a MetaScore of 57.1. With a runtime of 114 minutes, it is rated PG."
Wonder Park,"Wonder Park (2019) is a animation, adventure, comedy film directed by Dylan Brown. Featuring Sofia Mali, this movie has an IMDb rating of 5.9/10 and a MetaScore of 45.0. With a runtime of 85 minutes, it is rated PG."
The War with Grandpa,"The War with Grandpa (2020) is a comedy, drama, family film directed by Tim Hill. Featuring Robert De, Niro, this movie has an IMDb rating of 5.7/10 and a MetaScore of 34.0. With a runtime of 94 minutes, it is rated PG."
Fantasy Football,"Fantasy Football (2022) is a action, comedy, family film directed by Anton Cropper. Featuring Marsai Martin, this movie has an IMDb rating of 5.9/10 and a MetaScore of 57.1. With a runtime of 98 minutes, it is rated TV-PG."
Samson and Delilah,"Samson and Delilah (1949) is a drama, family, history film directed by Cecil B. DeMille. Featuring Hedy Lamarr, this movie has an IMDb rating of 6.8/10 and a MetaScore of 57.1. With a runtime of 134 minutes, it is rated Approved."
Night at the Museum: Kahmunrah Rises Again,"Night at the Museum: Kahmunrah Rises Again (2022) is a animation, adventure, comedy film directed by Matt Danner. Featuring Joshua Bassett, this movie has an IMDb rating of 5.0/10 and a MetaScore of 57.1. With a runtime of 77 minutes, it is rated PG."
Whale Rider,"Whale Rider (2002) is a drama, family, family film directed by Niki Caro. Featuring Keisha, Castle-Hughes, this movie has an IMDb rating of 7.5/10 and a MetaScore of 80.0. With a runtime of 101 minutes, it is rated PG-13."
Rescued by Ruby,"Rescued by Ruby (2022) is a biography, drama, family film directed by Katt Shea. Featuring Grant Gustin, this movie has an IMDb rating of 7.1/10 and a MetaScore of 57.1. With a runtime of 90 minutes, it is rated TV-G."
A-X-L,"A-X-L (2018) is a action, adventure, drama film directed by Oliver Daly. Featuring Alex Neustaedter, this movie has an IMDb rating of 5.3/10 and a MetaScore of 29.0. With a runtime of 98 minutes, it is rated PG."
The Secret of Moonacre,"The Secret of Moonacre (2008) is a adventure, family, fantasy film directed by Gabor Csupo. Featuring Ioan Gruffudd, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 103 minutes, it is rated PG."
Yogi Bear,"Yogi Bear (2010) is a animation, adventure, comedy film directed by Eric Brevig. Featuring Dan Aykroyd, this movie has an IMDb rating of 4.6/10 and a MetaScore of 35.0. With a runtime of 80 minutes, it is rated PG."
The Addams Family 2,"The Addams Family 2 (2021) is a animation, adventure, comedy film directed by Conrad Vernon. Featuring Oscar Isaac, this movie has an IMDb rating of 5.4/10 and a MetaScore of 37.0. With a runtime of 93 minutes, it is rated PG."
Little Nemo: Adventures in Slumberland,"Little Nemo: Adventures in Slumberland (1989) is a animation, adventure, comedy film directed by Masami Hata. Featuring Gabriel Damon, this movie has an IMDb rating of 7.1/10 and a MetaScore of 57.1. With a runtime of 85 minutes, it is rated G."
D.A.R.Y.L.,"D.A.R.Y.L. (1985) is a family, sci-fi, family film directed by Simon Wincer. Featuring Mary Beth, Hurt, this movie has an IMDb rating of 6.3/10 and a MetaScore of 57.1. With a runtime of 99 minutes, it is rated PG."
Treasure Island,"Treasure Island (1950) is a adventure, family, family film directed by Byron Haskin. Featuring Bobby Driscoll, this movie has an IMDb rating of 6.9/10 and a MetaScore of 89.0. With a runtime of 96 minutes, it is rated PG."
Fantasia 2000,"Fantasia 2000 (1999) is a animation, family, fantasy film directed by James Algar. Featuring James Levine, this movie has an IMDb rating of 7.1/10 and a MetaScore of 59.0. With a runtime of 75 minutes, it is rated G."
Benji,"Benji (2018) is a crime, drama, family film directed by Brandon Camp. Featuring Gabriel Bateman, this movie has an IMDb rating of 6.3/10 and a MetaScore of 53.0. With a runtime of 87 minutes, it is rated TV-PG."
102 Dalmatians,"102 Dalmatians (2000) is a adventure, comedy, family film directed by Michael D Moore. Featuring Glenn Close, this movie has an IMDb rating of 4.8/10 and a MetaScore of 35.0. With a runtime of 100 minutes, it is rated G."
My Favorite Martian,"My Favorite Martian (1999) is a comedy, family, sci-fi film directed by Donald Petrie. Featuring Christopher Lloyd, this movie has an IMDb rating of 5.1/10 and a MetaScore of 33.0. With a runtime of 94 minutes, it is rated PG."
Overcomer,"Overcomer (2019) is a drama, family, sport film directed by Alex Kendrick. Featuring Alex Kendrick, this movie has an IMDb rating of 6.7/10 and a MetaScore of 17.0. With a runtime of 119 minutes, it is rated PG."
A Week Away,"A Week Away (2021) is a drama, family, musical film directed by Roman White. Featuring Kevin Quinn, this movie has an IMDb rating of 5.8/10 and a MetaScore of 32.0. With a runtime of 94 minutes, it is rated TV-PG."
A Simple Wish,"A Simple Wish (1997) is a comedy, family, fantasy film directed by Michael Ritchie. Featuring Martin Short, this movie has an IMDb rating of 5.3/10 and a MetaScore of 57.1. With a runtime of 89 minutes, it is rated PG."
Wonderwell,"Wonderwell (2023) is a drama, family, fantasy film directed by Vlad Marsavin. Featuring Carrie Fisher, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 96 minutes, it is rated PG-13."
A Street Cat Named Bob,"A Street Cat Named Bob (2016) is a biography, drama, family film directed by Roger Spottiswoode. Featuring Luke Treadaway, this movie has an IMDb rating of 7.3/10 and a MetaScore of 54.0. With a runtime of 103 minutes, it is rated Not Rated."
Animal Crackers,"Animal Crackers (1930) is a comedy, family, musical film directed by Victor Heerman. Featuring Groucho Marx, this movie has an IMDb rating of 7.4/10 and a MetaScore of 77.0. With a runtime of 97 minutes, it is rated G."
Rumble,"Rumble (2021) is a animation, comedy, family film directed by Hamish Grieve. Featuring Geraldine Viswanathan, this movie has an IMDb rating of 5.9/10 and a MetaScore of 48.0. With a runtime of 95 minutes, it is rated PG."
Snow Day,"Snow Day (2000) is a adventure, comedy, family film directed by Chris Koch. Featuring Chevy Chase, this movie has an IMDb rating of 5.2/10 and a MetaScore of 34.0. With a runtime of 89 minutes, it is rated PG."
Too Old for Fairy Tales 2,"Too Old for Fairy Tales 2 (2024) is a family, adventure, family film directed by Kristoffer Rus. Featuring Maciej Karas, this movie has an IMDb rating of 4.8/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The Water Horse,"The Water Horse (2007) is a adventure, family, fantasy film directed by Jay Russell. Featuring Emily Watson, this movie has an IMDb rating of 6.4/10 and a MetaScore of 71.0. With a runtime of 112 minutes, it is rated PG."
Flipper,"Flipper (1996) is a adventure, crime, drama film directed by Alan Shapiro. Featuring Paul Hogan, this movie has an IMDb rating of 5.3/10 and a MetaScore of 43.0. With a runtime of 95 minutes, it is rated PG."
Flow,"Flow (2024) is a animation, adventure, family film directed by Gints Zilbalodis. Featuring Daniel Radcliffe, this movie has an IMDb rating of 7.6/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The Ant Bully,"The Ant Bully (2006) is a animation, adventure, comedy film directed by John A. Davis. Featuring Paul Giamatti, this movie has an IMDb rating of 5.8/10 and a MetaScore of 59.0. With a runtime of 88 minutes, it is rated PG."
Teen Titans GO! To the Movies,"Teen Titans GO! To the Movies (2018) is a animation, action, adventure film directed by Aaron Horvath. Featuring Greg Cipes, this movie has an IMDb rating of 6.7/10 and a MetaScore of 69.0. With a runtime of 84 minutes, it is rated PG."
Once Upon a Forest,"Once Upon a Forest (1993) is a animation, adventure, drama film directed by Charles Grosvenor. Featuring Michael Crawford, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.1. With a runtime of 71 minutes, it is rated G."
We're Back! A Dinosaur's Story,"We're Back! A Dinosaur's Story (1993) is a animation, adventure, comedy film directed by Phil Nibbelink. Featuring John Goodman, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 72 minutes, it is rated G."
Nancy Drew,"Nancy Drew (2007) is a comedy, crime, family film directed by Andrew Fleming. Featuring Emma Roberts, this movie has an IMDb rating of 5.9/10 and a MetaScore of 53.0. With a runtime of 99 minutes, it is rated PG."
3 Ninjas Kick Back,"3 Ninjas Kick Back (1994) is a action, comedy, family film directed by Charles T. Kanganis. Featuring Victor Wong, this movie has an IMDb rating of 4.6/10 and a MetaScore of 39.0. With a runtime of 93 minutes, it is rated PG."
The Healer,"The Healer (2016) is a comedy, drama, family film directed by Paco Arango. Featuring Oliver, Jackson-Cohen, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.1. With a runtime of 113 minutes, it is rated Not Rated."
Lucy Shimmers and the Prince of Peace,"Lucy Shimmers and the Prince of Peace (2020) is a drama, family, family film directed by Rob Diamond. Featuring Scarlett Diamond, this movie has an IMDb rating of 7.1/10 and a MetaScore of 57.1. With a runtime of 87 minutes, it is rated TV-G."
The Beat Beneath My Feet,"The Beat Beneath My Feet (2014) is a comedy, drama, family film directed by John Williams. Featuring Luke Perry, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.1. With a runtime of 91 minutes, it is rated TV-14."
Beethoven's 2nd,"Beethoven's 2nd (1993) is a comedy, family, romance film directed by Rod Daniel. Featuring Charles Grodin, this movie has an IMDb rating of 5.0/10 and a MetaScore of 57.1. With a runtime of 89 minutes, it is rated PG."
The Odd Life of Timothy Green,"The Odd Life of Timothy Green (2012) is a comedy, drama, family film directed by Peter Hedges. Featuring Jennifer Garner, this movie has an IMDb rating of 6.6/10 and a MetaScore of 47.0. With a runtime of 105 minutes, it is rated PG."
Rocky Aur Rani Kii Prem Kahaani,"Rocky Aur Rani Kii Prem Kahaani (2023) is a comedy, drama, family film directed by Karan Johar. Featuring Ranveer Singh, this movie has an IMDb rating of 6.5/10 and a MetaScore of 57.1. With a runtime of 168 minutes, it is rated Not Rated."
A Whisker Away,"A Whisker Away (2020) is a animation, adventure, drama film directed by Jun'ichi Satô. Featuring Mirai Shida, this movie has an IMDb rating of 6.7/10 and a MetaScore of 57.1. With a runtime of 104 minutes, it is rated TV-PG."
The Nut Job,"The Nut Job (2014) is a animation, adventure, comedy film directed by Peter Lepeniotis. Featuring Will Arnett, this movie has an IMDb rating of 5.7/10 and a MetaScore of 37.0. With a runtime of 85 minutes, it is rated PG."
Simon Birch,"Simon Birch (1998) is a comedy, drama, family film directed by Mark Steven Johnson. Featuring Ian Michael, Smith, this movie has an IMDb rating of 6.8/10 and a MetaScore of 39.0. With a runtime of 114 minutes, it is rated PG."
Paulie,"Paulie (1998) is a adventure, comedy, drama film directed by John Roberts. Featuring Gena Rowlands, this movie has an IMDb rating of 6.5/10 and a MetaScore of 57.1. With a runtime of 91 minutes, it is rated PG."
BMX Bandits,"BMX Bandits (1983) is a action, crime, drama film directed by Brian Trenchard-Smith. Featuring David Argue, this movie has an IMDb rating of 5.5/10 and a MetaScore of 53.0. With a runtime of 88 minutes, it is rated PG."
Strange Magic,"Strange Magic (2015) is a animation, adventure, comedy film directed by Gary Rydstrom. Featuring Evan Rachel, Wood, this movie has an IMDb rating of 5.7/10 and a MetaScore of 25.0. With a runtime of 99 minutes, it is rated PG."
The Bad News Bears in Breaking Training,"The Bad News Bears in Breaking Training (1977) is a comedy, family, sport film directed by Michael Pressman. Featuring William Devane, this movie has an IMDb rating of 5.6/10 and a MetaScore of 47.0. With a runtime of 100 minutes, it is rated PG."
Shrek the Musical,"Shrek the Musical (2013) is a comedy, family, fantasy film directed by Michael John Warren. Featuring Brian, d'Arcy James, this movie has an IMDb rating of 6.9/10 and a MetaScore of 57.1. With a runtime of 130 minutes, it is rated TV-G."
Raise Your Voice,"Raise Your Voice (2004) is a family, music, musical film directed by Sean McNamara. Featuring Hilary Duff, this movie has an IMDb rating of 5.8/10 and a MetaScore of 33.0. With a runtime of 103 minutes, it is rated PG."
Free Birds,"Free Birds (2013) is a animation, action, adventure film directed by Jimmy Hayward. Featuring Woody Harrelson, this movie has an IMDb rating of 5.8/10 and a MetaScore of 38.0. With a runtime of 91 minutes, it is rated PG."
Over the Moon,"Over the Moon (2020) is a animation, adventure, comedy film directed by Glen Keane. Featuring Glen Keane, this movie has an IMDb rating of 6.3/10 and a MetaScore of 60.0. With a runtime of 95 minutes, it is rated PG."
Stuart Little 2,"Stuart Little 2 (2002) is a adventure, comedy, family film directed by Rob Minkoff. Featuring Michael, J., Fox, this movie has an IMDb rating of 5.5/10 and a MetaScore of 66.0. With a runtime of 77 minutes, it is rated PG."
Abbott and Costello Meet Frankenstein,"Abbott and Costello Meet Frankenstein (1948) is a comedy, family, fantasy film directed by Charles Barton. Featuring Bud Abbott, this movie has an IMDb rating of 7.3/10 and a MetaScore of 69.0. With a runtime of 83 minutes, it is rated Approved."
North,"North (1994) is a adventure, comedy, drama film directed by Rob Reiner. Featuring Elijah Wood, this movie has an IMDb rating of 4.5/10 and a MetaScore of 57.1. With a runtime of 87 minutes, it is rated PG."
Fun Size,"Fun Size (2012) is a adventure, comedy, crime film directed by Josh Schwartz. Featuring Victoria Justice, this movie has an IMDb rating of 5.4/10 and a MetaScore of 37.0. With a runtime of 86 minutes, it is rated PG-13."
The Boxtrolls,"The Boxtrolls (2014) is a animation, adventure, comedy film directed by Graham Annable. Featuring Ben Kingsley, this movie has an IMDb rating of 6.8/10 and a MetaScore of 61.0. With a runtime of 96 minutes, it is rated PG."
Harriet the Spy,"Harriet the Spy (1996) is a comedy, drama, family film directed by Bronwen Hughes. Featuring Michelle Trachtenberg, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
Pom Poko,"Pom Poko (1994) is a animation, comedy, drama film directed by Isao Takahata. Featuring Shinchô Kokontei, this movie has an IMDb rating of 7.3/10 and a MetaScore of 77.0. With a runtime of 119 minutes, it is rated PG."
Underdog,"Underdog (2007) is a action, adventure, comedy film directed by Frederik Du Chau. Featuring Peter Dinklage, this movie has an IMDb rating of 4.8/10 and a MetaScore of 37.0. With a runtime of 84 minutes, it is rated PG."
Woody Woodpecker,"Woody Woodpecker (2017) is a animation, adventure, comedy film directed by Alex Zamm. Featuring Eric Bauza, this movie has an IMDb rating of 4.2/10 and a MetaScore of 57.1. With a runtime of 91 minutes, it is rated PG."
Secret Society of Second Born Royals,"Secret Society of Second Born Royals (2020) is a action, adventure, comedy film directed by Anna Mastro. Featuring Peyton Elizabeth, Lee, this movie has an IMDb rating of 5.0/10 and a MetaScore of 34.0. With a runtime of 99 minutes, it is rated TV-PG."
The Wild,"The Wild (2006) is a animation, adventure, comedy film directed by Steve 'Spaz' Williams. Featuring Kiefer Sutherland, this movie has an IMDb rating of 5.2/10 and a MetaScore of 47.0. With a runtime of 82 minutes, it is rated G."
The Swan Princess,"The Swan Princess (1994) is a animation, adventure, comedy film directed by Richard Rich. Featuring Jack Palance, this movie has an IMDb rating of 6.4/10 and a MetaScore of 70.0. With a runtime of 90 minutes, it is rated G."
An American Tail: Fievel Goes West,"An American Tail: Fievel Goes West (1991) is a animation, adventure, family film directed by Phil Nibbelink. Featuring James Stewart, this movie has an IMDb rating of 6.5/10 and a MetaScore of 57.1. With a runtime of 75 minutes, it is rated G."
Wild Hearts Can't Be Broken,"Wild Hearts Can't Be Broken (1991) is a drama, family, romance film directed by Steve Miner. Featuring Gabrielle Anwar, this movie has an IMDb rating of 7.2/10 and a MetaScore of 57.1. With a runtime of 88 minutes, it is rated G."
White Fang,"White Fang (1991) is a adventure, drama, family film directed by Randal Kleiser. Featuring Ethan Hawke, this movie has an IMDb rating of 6.7/10 and a MetaScore of 62.0. With a runtime of 107 minutes, it is rated PG."
Captains Courageous,"Captains Courageous (1937) is a adventure, drama, family film directed by Victor Fleming. Featuring Spencer Tracy, this movie has an IMDb rating of 7.9/10 and a MetaScore of 81.0. With a runtime of 117 minutes, it is rated Approved."
The Muppets Take Manhattan,"The Muppets Take Manhattan (1984) is a adventure, comedy, drama film directed by Frank Oz. Featuring Jim Henson, this movie has an IMDb rating of 6.8/10 and a MetaScore of 64.0. With a runtime of 94 minutes, it is rated G."
Thomas and the Magic Railroad,"Thomas and the Magic Railroad (2000) is a adventure, comedy, drama film directed by Britt Allcroft. Featuring Alec Baldwin, this movie has an IMDb rating of 4.2/10 and a MetaScore of 19.0. With a runtime of 85 minutes, it is rated G."
Planet 51,"Planet 51 (2009) is a animation, adventure, comedy film directed by Jorge Blanco. Featuring Dwayne Johnson, this movie has an IMDb rating of 6.0/10 and a MetaScore of 39.0. With a runtime of 91 minutes, it is rated PG."
Hop,"Hop (2011) is a animation, adventure, comedy film directed by Tim Hill. Featuring Russell Brand, this movie has an IMDb rating of 5.4/10 and a MetaScore of 41.0. With a runtime of 95 minutes, it is rated PG."
The Yearling,"The Yearling (1946) is a drama, family, western film directed by Clarence Brown. Featuring Gregory Peck, this movie has an IMDb rating of 7.2/10 and a MetaScore of 89.0. With a runtime of 128 minutes, it is rated Approved."
For Prophet,"For Prophet (2024) is a comedy, drama, family film directed by Mark Stewart Iverson. Featuring Ben Marten, this movie has an IMDb rating of 7.8/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The Legend of Catclaws Mountain,"The Legend of Catclaws Mountain (2024) is a family, adventure, family film directed by Ritchie Greer. Featuring Hayden Hishaw, this movie has an IMDb rating of 5.1/10 and a MetaScore of 57.1. With a runtime of 104 minutes, it is rated PG."
Pokémon: The First Movie - Mewtwo Strikes Back,"Pokémon: The First Movie - Mewtwo Strikes Back (1998) is a animation, action, adventure film directed by Kunihiko Yuyama. Featuring Veronica Taylor, this movie has an IMDb rating of 6.3/10 and a MetaScore of 35.0. With a runtime of 96 minutes, it is rated G."
Meet Dave,"Meet Dave (2008) is a adventure, comedy, family film directed by Brian Robbins. Featuring Eddie Murphy, this movie has an IMDb rating of 5.1/10 and a MetaScore of 43.0. With a runtime of 90 minutes, it is rated PG."
Mavka: The Forest Song,"Mavka: The Forest Song (2023) is a animation, adventure, comedy film directed by Oleh Malamuzh. Featuring Sarah Natochenny, this movie has an IMDb rating of 6.6/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
Hi Nanna,"Hi Nanna (2023) is a drama, family, romance film directed by Shouryuv. Featuring Nani, this movie has an IMDb rating of 8.2/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The One and Only Ivan,"The One and Only Ivan (2020) is a adventure, comedy, drama film directed by Thea Sharrock. Featuring Sam Rockwell, this movie has an IMDb rating of 6.6/10 and a MetaScore of 58.0. With a runtime of 95 minutes, it is rated PG."
Dog Gone,"Dog Gone (2023) is a biography, drama, family film directed by Stephen Herek. Featuring Rob Lowe, this movie has an IMDb rating of 6.1/10 and a MetaScore of 42.0. With a runtime of 95 minutes, it is rated TV-PG."
Madeline,"Madeline (1998) is a comedy, family, family film directed by Daisy von Scherler Mayer. Featuring Frances Mc, Dormand, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 88 minutes, it is rated PG."
The Girl Who Believes in Miracles,"The Girl Who Believes in Miracles (2021) is a drama, family, family film directed by Richard Correll. Featuring Mira Sorvino, this movie has an IMDb rating of 5.9/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
Sinbad and the Eye of the Tiger,"Sinbad and the Eye of the Tiger (1977) is a action, adventure, family film directed by Sam Wanamaker. Featuring Patrick Wayne, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.1. With a runtime of 113 minutes, it is rated G."
Stormbreaker,"Stormbreaker (2006) is a action, adventure, family film directed by Geoffrey Sax. Featuring Alex Pettyfer, this movie has an IMDb rating of 5.1/10 and a MetaScore of 42.0. With a runtime of 93 minutes, it is rated PG."
Nanny McPhee Returns,"Nanny McPhee Returns (2010) is a comedy, family, fantasy film directed by Susanna White. Featuring Emma Thompson, this movie has an IMDb rating of 6.1/10 and a MetaScore of 52.0. With a runtime of 109 minutes, it is rated PG."
Fly Away Home,"Fly Away Home (1996) is a adventure, drama, family film directed by Carroll Ballard. Featuring Jeff Daniels, this movie has an IMDb rating of 6.9/10 and a MetaScore of 77.0. With a runtime of 107 minutes, it is rated PG."
"Miraculous: Ladybug & Cat Noir, the Movie","Miraculous: Ladybug & Cat Noir, the Movie (2023) is a animation, action, adventure film directed by Jeremy Zag. Featuring Annouck Hautbois, this movie has an IMDb rating of 6.1/10 and a MetaScore of 57.1. With a runtime of 105 minutes, it is rated PG."
The Kid,"The Kid (2000) is a comedy, family, fantasy film directed by Jon Turteltaub. Featuring Bruce Willis, this movie has an IMDb rating of 6.1/10 and a MetaScore of 45.0. With a runtime of 104 minutes, it is rated PG."
My Little Pony: A New Generation,"My Little Pony: A New Generation (2021) is a animation, adventure, comedy film directed by Robert Cullen. Featuring Vanessa Hudgens, this movie has an IMDb rating of 6.8/10 and a MetaScore of 57.1. With a runtime of 90 minutes, it is rated PG."
Tad the Lost Explorer and the Emerald Tablet,"Tad the Lost Explorer and the Emerald Tablet (2022) is a animation, adventure, comedy film directed by Enrique Gato. Featuring Óscar Barberán, this movie has an IMDb rating of 6.0/10 and a MetaScore of 57.1. With a runtime of 90 minutes, it is rated PG."
Mr. Magorium's Wonder Emporium,"Mr. Magorium's Wonder Emporium (2007) is a comedy, family, fantasy film directed by Zach Helm. Featuring Natalie Portman, this movie has an IMDb rating of 6.2/10 and a MetaScore of 48.0. With a runtime of 93 minutes, it is rated G."
Kes,"Kes (1969) is a drama, family, family film directed by Ken Loach. Featuring David Bradley, this movie has an IMDb rating of 7.9/10 and a MetaScore of 57.1. With a runtime of 111 minutes, it is rated PG-13."
The Black Stallion,"The Black Stallion (1979) is a adventure, family, sport film directed by Carroll Ballard. Featuring Kelly Reno, this movie has an IMDb rating of 7.4/10 and a MetaScore of 84.0. With a runtime of 118 minutes, it is rated G."
Journey to Bethlehem,"Journey to Bethlehem (2023) is a adventure, family, musical film directed by Adam Anders. Featuring Fiona Palomo, this movie has an IMDb rating of 6.4/10 and a MetaScore of 57.1. With a runtime of 99 minutes, it is rated PG."
Snow Dogs,"Snow Dogs (2002) is a adventure, comedy, family film directed by Brian Levant. Featuring Cuba Gooding, Jr., this movie has an IMDb rating of 5.2/10 and a MetaScore of 29.0. With a runtime of 99 minutes, it is rated PG."
Mummies,"Mummies (2023) is a animation, adventure, comedy film directed by Juan Jesús García Galocha. Featuring Óscar Barberán, this movie has an IMDb rating of 5.9/10 and a MetaScore of 57.1. With a runtime of 88 minutes, it is rated PG."
Condorman,"Condorman (1981) is a action, adventure, comedy film directed by Charles Jarrott. Featuring Michael Crawford, this movie has an IMDb rating of 5.7/10 and a MetaScore of 46.0. With a runtime of 90 minutes, it is rated PG."
The Love Bug,"The Love Bug (1969) is a comedy, family, sport film directed by Robert Stevenson. Featuring Dean Jones, this movie has an IMDb rating of 6.5/10 and a MetaScore of 48.0. With a runtime of 108 minutes, it is rated G."
The Curse of Bridge Hollow,"The Curse of Bridge Hollow (2022) is a adventure, comedy, family film directed by Jeff Wadlow. Featuring Marlon Wayans, this movie has an IMDb rating of 5.6/10 and a MetaScore of 38.0. With a runtime of 89 minutes, it is rated TV-14."
Troop Zero,"Troop Zero (2019) is a comedy, drama, family film directed by Bertie Ellwood. Featuring Mckenna Grace, this movie has an IMDb rating of 6.9/10 and a MetaScore of 58.0. With a runtime of 94 minutes, it is rated PG."
Artemis Fowl,"Artemis Fowl (2020) is a adventure, family, fantasy film directed by Kenneth Branagh. Featuring Ferdia Shaw, this movie has an IMDb rating of 4.3/10 and a MetaScore of 31.0. With a runtime of 95 minutes, it is rated PG."
Autumn and the Black Jaguar,"Autumn and the Black Jaguar (2024) is a adventure, comedy, family film directed by Gilles de Maistre. Featuring Emily Bett, Rickards, this movie has an IMDb rating of 5.6/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
Our Town,"Our Town (1940) is a drama, family, romance film directed by Sam Wood. Featuring William Holden, this movie has an IMDb rating of 6.5/10 and a MetaScore of 57.1. With a runtime of 90 minutes, it is rated Approved."
A Christmas Carol,"A Christmas Carol (2009) is a animation, adventure, comedy film directed by Robert Zemeckis. Featuring Jim Carrey, this movie has an IMDb rating of 6.8/10 and a MetaScore of 55.0. With a runtime of 96 minutes, it is rated PG."
The Peanuts Movie,"The Peanuts Movie (2015) is a animation, adventure, comedy film directed by Steve Martino. Featuring Noah Schnapp, this movie has an IMDb rating of 7.0/10 and a MetaScore of 67.0. With a runtime of 88 minutes, it is rated G."
Mary and the Witch's Flower,"Mary and the Witch's Flower (2017) is a animation, adventure, family film directed by Hiromasa Yonebayashi. Featuring Hana Sugisaki, this movie has an IMDb rating of 6.8/10 and a MetaScore of 74.0. With a runtime of 103 minutes, it is rated PG."
Zoey 102,"Zoey 102 (2023) is a comedy, drama, family film directed by Nancy Hower. Featuring Jamie Lynn, Spears, this movie has an IMDb rating of 4.9/10 and a MetaScore of 57.1. With a runtime of 101 minutes, it is rated TV-14."
Luv Ki Arrange Marriage,"Luv Ki Arrange Marriage (2024) is a comedy, family, family film directed by Ishrat R. Khan. Featuring Ravi Chauhan, this movie has an IMDb rating of 4.7/10 and a MetaScore of 57.1. With a runtime of 100 minutes, it is rated PG."
The Spy Next Door,"The Spy Next Door (2010) is a action, comedy, family film directed by Brian Levant. Featuring Jackie Chan, this movie has an IMDb rating of 5.4/10 and a MetaScore of 27.0. With a runtime of 94 minutes, it is rated PG."
Teenage Mutant Ninja Turtles III,"Teenage Mutant Ninja Turtles III (1993) is a action, adventure, comedy film directed by Stuart Gillard. Featuring Elias Koteas, this movie has an IMDb rating of 4.8/10 and a MetaScore of 40.0. With a runtime of 96 minutes, it is rated PG."
Eight Below,"Eight Below (2006) is a adventure, drama, family film directed by Frank Marshall. Featuring Paul Walker, this movie has an IMDb rating of 7.3/10 and a MetaScore of 64.0. With a runtime of 120 minutes, it is rated PG."
Smallfoot,"Smallfoot (2018) is a animation, adventure, comedy film directed by Karey Kirkpatrick. Featuring Channing Tatum, this movie has an IMDb rating of 6.6/10 and a MetaScore of 60.0. With a runtime of 96 minutes, it is rated PG."
The Greatest Show on Earth,"The Greatest Show on Earth (1952) is a drama, family, romance film directed by Cecil B. DeMille. Featuring James Stewart, this movie has an IMDb rating of 6.5/10 and a MetaScore of 76.0. With a runtime of 152 minutes, it is rated Approved."
Finding 'Ohana,"Finding 'Ohana (2021) is a action, adventure, comedy film directed by Jude Weng. Featuring Kea Peahu, this movie has an IMDb rating of 6.1/10 and a MetaScore of 69.0. With a runtime of 123 minutes, it is rated PG."
Akeelah and the Bee,"Akeelah and the Bee (2006) is a drama, family, family film directed by Doug Atchison. Featuring Angela Bassett, this movie has an IMDb rating of 7.4/10 and a MetaScore of 72.0. With a runtime of 112 minutes, it is rated PG."
The Many Adventures of Winnie the Pooh,"The Many Adventures of Winnie the Pooh (1977) is a animation, comedy, family film directed by John Lounsbery. Featuring Sebastian Cabot, this movie has an IMDb rating of 7.5/10 and a MetaScore of 57.1. With a runtime of 74 minutes, it is rated G."
